,date,derv,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,Value
131,2021-06-21 21:50:00+00:00,-2.3267175572519047e-05,0.313944,0.313944,0.316992,0.32004,0.323088,0.326136,0.329184,0.332232,0.33528,0.341376,0.310896
132,2021-06-21 22:00:00+00:00,-2.3090909090909055e-05,0.310896,0.313944,0.313944,0.316992,0.32004,0.323088,0.326136,0.329184,0.332232,0.33528,0.307848
133,2021-06-21 22:10:00+00:00,-2.291729323308267e-05,0.307848,0.310896,0.313944,0.313944,0.316992,0.32004,0.323088,0.326136,0.329184,0.332232,0.3048
134,2021-06-21 22:20:00+00:00,-2.2746268656716382e-05,0.3048,0.307848,0.310896,0.313944,0.313944,0.316992,0.32004,0.323088,0.326136,0.329184,0.301752
135,2021-06-21 22:30:00+00:00,-2.257777777777774e-05,0.301752,0.3048,0.307848,0.310896,0.313944,0.313944,0.316992,0.32004,0.323088,0.326136,0.298704
136,2021-06-21 22:40:00+00:00,-2.2411764705882726e-05,0.298704,0.301752,0.3048,0.307848,0.310896,0.313944,0.313944,0.316992,0.32004,0.323088,0.295656
137,2021-06-21 22:50:00+00:00,-2.2248175182481715e-05,0.295656,0.298704,0.301752,0.3048,0.307848,0.310896,0.313944,0.313944,0.316992,0.32004,0.292608
138,2021-06-21 23:00:00+00:00,-2.2086956521739095e-05,0.292608,0.295656,0.298704,0.301752,0.3048,0.307848,0.310896,0.313944,0.313944,0.316992,0.28956
139,2021-06-21 23:10:00+00:00,0.0,0.28956,0.292608,0.295656,0.298704,0.301752,0.3048,0.307848,0.310896,0.313944,0.313944,0.28956
140,2021-06-21 23:20:00+00:00,-2.1771428571428538e-05,0.28956,0.28956,0.292608,0.295656,0.298704,0.301752,0.3048,0.307848,0.310896,0.313944,0.286512
141,2021-06-21 23:30:00+00:00,0.0,0.286512,0.28956,0.28956,0.292608,0.295656,0.298704,0.301752,0.3048,0.307848,0.310896,0.286512
142,2021-06-21 23:40:00+00:00,-2.146478873239433e-05,0.286512,0.286512,0.28956,0.28956,0.292608,0.295656,0.298704,0.301752,0.3048,0.307848,0.283464
143,2021-06-21 23:50:00+00:00,-2.131468531468528e-05,0.283464,0.286512,0.286512,0.28956,0.28956,0.292608,0.295656,0.298704,0.301752,0.3048,0.280416
144,2021-06-22 00:00:00+00:00,-2.1166666666666635e-05,0.280416,0.283464,0.286512,0.286512,0.28956,0.28956,0.292608,0.295656,0.298704,0.301752,0.277368
145,2021-06-22 00:10:00+00:00,0.0,0.277368,0.280416,0.283464,0.286512,0.286512,0.28956,0.28956,0.292608,0.295656,0.298704,0.277368
146,2021-06-22 00:20:00+00:00,-2.087671232876709e-05,0.277368,0.277368,0.280416,0.283464,0.286512,0.286512,0.28956,0.28956,0.292608,0.295656,0.27432
147,2021-06-22 00:30:00+00:00,0.0,0.27432,0.277368,0.277368,0.280416,0.283464,0.286512,0.286512,0.28956,0.28956,0.292608,0.27432
148,2021-06-22 00:40:00+00:00,-2.0594594594594562e-05,0.27432,0.27432,0.277368,0.277368,0.280416,0.283464,0.286512,0.286512,0.28956,0.28956,0.271272
149,2021-06-22 00:50:00+00:00,0.0,0.271272,0.27432,0.27432,0.277368,0.277368,0.280416,0.283464,0.286512,0.286512,0.28956,0.271272
150,2021-06-22 01:00:00+00:00,-2.0319999999999968e-05,0.271272,0.271272,0.27432,0.27432,0.277368,0.277368,0.280416,0.283464,0.286512,0.286512,0.268224
151,2021-06-22 01:10:00+00:00,0.0,0.268224,0.271272,0.271272,0.27432,0.27432,0.277368,0.277368,0.280416,0.283464,0.286512,0.268224
